File,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
A01365726,-0.129681617,0.059802439,0.053407714,-0.009938187,-0.025194759,-0.070801899,-0.055179257,-0.121054605,0.052641012,-0.101420961,0.284575999,-0.085024618,-0.217206195,-0.049660832,0.023729678,0.076579459,-0.263335377,-0.074510418,-0.029159397,-0.000971158,0.096759029,-0.002004177,0.068529584,0.061348014,-0.093188532,-0.35041362,-0.103790618,-0.118636094,0.044844624,-0.045459688,-0.007437983,-0.044730879,-0.119579233,-0.010924371,0.007035605,-0.01148401,-0.099146038,-0.06856937,0.252480179,-0.006792565,-0.184422716,-0.014766909,0.036527961,0.28952688,0.186265022,0.056767453,-0.017730653,-0.090654135,0.112075046,-0.269769907,0.01163516,0.17635797,0.159026712,0.056334268,0.079445839,-0.082688101,0.031649083,0.067433164,-0.165806413,0.07295239,0.074450694,-0.041571505,0.074230485,-0.101028241,0.258716285,0.094796896,-0.182855666,-0.08611197,0.053242847,-0.147354722,-0.12429104,0.131722748,-0.117968641,-0.23451072,-0.276055634,-0.0667089,0.400389791,0.130023018,-0.186908647,-0.068837509,-0.097028591,-0.076890677,0.132758319,0.154288828,-0.058038071,-0.027301658,-0.101737,0.000261086,0.189171314,-0.058151592,-0.093868591,0.209355995,0.01820186,0.094525486,0.020156717,0.031302202,-0.089443445,-0.016779181,-0.118416555,0.001923584,-0.053195044,-0.022580653,-0.009339978,0.105581649,-0.120961532,0.181120202,0.022145785,-0.013504487,-0.004627511,-0.00344862,-0.098795749,-0.005404159,0.075146012,-0.297768563,0.141408801,0.172836214,0.090300724,0.105893612,0.014058865,0.001603935,-0.082060613,0.005241592,-0.199613079,-0.043657228,0.021068618,0.000340607,0.089415178,-0.04819227
A01365726,-0.12481986,0.040117808,0.063212074,0.010179451,-0.017350432,-0.093922049,-0.033055872,-0.11820171,0.085606113,-0.124721006,0.305021733,-0.056127608,-0.246359468,-0.046309903,0.032567225,0.105559878,-0.278271139,-0.049206242,-0.040062666,0.026689775,0.06641987,-0.017910246,0.090556622,0.042522825,-0.045478739,-0.373763472,-0.148673415,-0.106141873,0.07911402,-0.061926793,-0.006066508,-0.074318014,-0.115645915,0.010458527,0.012260709,-0.010896564,-0.068112627,-0.123319797,0.257974118,-0.043650679,-0.169125825,-0.042856108,-0.004267615,0.259072959,0.157526821,0.041666575,-0.005250327,-0.079678938,0.138833255,-0.259135693,0.070043311,0.120882802,0.147559658,0.082929298,0.084588587,-0.101516388,0.028506842,0.088101514,-0.187804475,0.042693056,0.047445297,-0.020152526,0.08027412,-0.071973249,0.256665856,0.121204093,-0.185357958,-0.09117873,0.087490179,-0.175811276,-0.057455167,0.092780076,-0.122983865,-0.212691993,-0.278754085,-0.06811554,0.391170532,0.113013387,-0.176273271,-0.078364082,-0.113905475,-0.080602922,0.100930378,0.139478862,-0.037670936,-0.009982553,-0.105589852,0.001068949,0.208690494,-0.072442435,-0.107831724,0.229923442,0.004995386,0.059396382,0.029848708,0.026142213,-0.030646432,-0.059003908,-0.079425231,0.034293417,-0.047625449,-0.062914051,-0.050580095,0.077661112,-0.149608299,0.17144078,0.044469554,-0.003620927,0.011768272,0.005164945,-0.132340714,-0.022368634,0.0862936,-0.344271541,0.205981314,0.171200976,0.069711648,0.140340656,-0.074214891,0.038624655,-0.077858672,-0.033015605,-0.141090423,-0.075543791,0.006322815,0.04479498,0.074826248,-0.021691024
A01365726,-0.122515589,0.049150493,0.106436744,-0.010163197,-0.079569094,-0.051311724,-0.077479377,-0.099158399,0.059009943,-0.1167555,0.273804486,-0.056187555,-0.254203677,-0.047547292,0.056490693,0.061510377,-0.180156335,-0.079106055,-0.006099094,0.007842517,0.061885875,-0.007809998,0.094188079,0.08306618,-0.101651073,-0.41253075,-0.109695286,-0.12024802,-0.007526333,-0.041074321,-0.049474899,0.040112786,-0.077944875,0.028351307,0.018258233,0.066560596,-0.065200143,-0.063647211,0.238452852,0.017411338,-0.180992946,-0.018110568,-0.037019238,0.299187481,0.180325434,0.016614212,0.034571975,-0.081443764,0.137421399,-0.260767311,0.063412517,0.20256266,0.126886666,0.028676938,0.107461557,-0.058889665,0.037592191,0.050054118,-0.160695449,0.059364647,0.067892112,-0.084010668,0.035749637,-0.146055534,0.230678886,0.14270097,-0.15363656,-0.085005462,0.051802132,-0.144270867,-0.135983497,0.098405197,-0.200220719,-0.199044168,-0.267141402,-0.016694695,0.384750456,0.144592524,-0.201884598,-0.05680481,-0.066788495,-0.073287115,0.094817989,0.161584064,-0.068534389,-0.020477004,-0.083243139,0.06152384,0.194443643,-0.071853101,-0.070329994,0.207551211,0.006860083,0.111140408,0.048636392,0.007500714,-0.054235879,-0.028504388,-0.133266956,0.023155471,-0.018899284,-0.079646356,-0.014121204,0.064656749,-0.187304214,0.145082757,-0.004069588,-0.040955327,0.021569356,-0.032319166,-0.141086519,0.003009368,0.12025778,-0.279220521,0.168118164,0.172344685,0.119669348,0.11026901,0.005181252,0.009925978,-0.074031666,-0.030143328,-0.141056016,-0.044960335,0.06209597,0.029727638,0.042611942,-0.050661705
A01365726,-0.138435021,0.032588743,0.082645528,-0.000434586,-0.06239631,-0.069741361,-0.031950355,-0.08921773,0.030794354,-0.060498588,0.246998504,-0.078658067,-0.263051987,-0.01439466,0.069924094,0.05649443,-0.221763849,-0.040180389,-0.011556896,0.011189468,0.046055742,-0.030601945,0.060181543,0.06125195,-0.109676033,-0.397660553,-0.123619415,-0.098871253,0.031547323,-0.059012979,0.037948463,-0.016452303,-0.08933831,0.068900362,0.03311345,0.028777078,-0.060752392,-0.091180131,0.282395631,-0.033378065,-0.16099748,-0.06507165,0.008611089,0.264402181,0.166755304,0.018616864,0.011574781,-0.028722726,0.112231314,-0.302551568,0.069874898,0.158041716,0.068891011,0.075209126,0.087437615,-0.081292868,0.029484302,0.073925957,-0.176531702,0.06010187,0.048749797,-0.091575369,0.02234713,-0.078336149,0.221361428,0.127123028,-0.165733024,-0.095506951,0.032892868,-0.205701187,-0.071839966,0.094948821,-0.127501085,-0.195067778,-0.293490946,-0.01133148,0.372540623,0.148543283,-0.197749272,-0.080823287,-0.079228185,-0.054606758,0.148228064,0.108828366,-0.03931528,-0.057420254,-0.095901281,0.038908508,0.204704568,-0.065553531,-0.07283169,0.215808317,0.014670278,0.075753346,0.022750191,0.027548159,-0.021909738,-0.071597509,-0.063737907,0.044779763,0.023674769,-0.061789829,0.005064001,0.103572652,-0.207954541,0.157248601,0.022550279,-0.047395989,0.046497423,-0.001972186,-0.144004121,-0.025818601,0.119094275,-0.339528561,0.179910511,0.192739189,0.028589653,0.117141083,-0.053127229,0.024077402,-0.073787667,-0.013014904,-0.097304635,-0.046750434,0.003627596,0.06184154,0.01882223,-0.056531467
A01366475,-0.097089835,0.040664703,0.066303849,-0.017682536,-0.069709376,-0.024194425,-0.062460281,-0.080956891,0.196482539,-0.122777842,0.251561254,-0.029817427,-0.202115625,-0.012021774,-0.007814279,0.143139884,-0.156117126,-0.050880365,-0.058669351,-0.003234847,0.009597944,-0.050106905,0.12260747,0.092714094,-0.072319582,-0.396000654,-0.146264359,-0.135223433,-0.02543902,-0.053692911,-0.059620444,0.034390118,-0.091724224,-0.011443475,-0.056131117,0.03959614,-0.061812822,-0.070537709,0.220907748,-0.022778124,-0.225348786,-0.000139751,-0.025294263,0.224053025,0.117014602,0.078063741,0.013248971,-0.05714079,0.087535173,-0.194434017,0.070499241,0.152122647,0.074466631,0.007224222,0.016840253,-0.088912562,0.063004978,0.065774217,-0.151535913,0.008755134,0.066704758,-0.086581126,-0.033669293,-0.04750276,0.20874244,0.202013522,-0.114715233,-0.118452258,0.066484682,-0.155327186,-0.059494056,0.015723515,-0.198770896,-0.238717839,-0.30700314,0.025115982,0.380924046,0.112674087,-0.120946087,0.013523465,-0.057711083,-0.016298018,0.070476614,0.162163854,-0.109432772,-0.007194125,-0.102885224,0.018718867,0.128348827,-0.086147174,-0.04402196,0.20686537,-0.007296322,0.103362702,-0.013505655,0.039798118,-0.039068215,0.05104427,-0.107960761,0.087763794,0.083313175,-0.021082323,-0.022598485,0.027106352,-0.202219963,0.089921959,0.008906827,-0.021272223,0.086425133,0.057286363,-0.176420286,-0.117181316,0.154665962,-0.219228566,0.142485917,0.224144474,0.091368213,0.140244722,0.119291186,0.091307208,-0.017233778,0.012640538,-0.218234301,0.003269824,0.10539978,0.01183011,0.00783066,0.037074443
A01366475,-0.118845344,0.04689585,0.019008201,-0.029267583,-0.081019811,-0.011240472,-0.038671941,-0.069843553,0.200188279,-0.123362541,0.233028516,-0.007847447,-0.199476108,-0.024235589,0.021725159,0.112132765,-0.170583576,-0.066243477,-0.057021018,-0.025802521,0.031190576,-0.031524267,0.15118289,0.098220102,-0.11901807,-0.385740578,-0.132404581,-0.13358523,0.019386627,-0.045001302,-0.037445515,0.024578953,-0.113948323,-0.005780851,-0.04772348,0.072098188,-0.101212651,-0.054751221,0.233671948,0.009641455,-0.204372928,-0.006100398,-0.039910819,0.25330618,0.13146387,0.062114332,-0.007618567,-0.031656723,0.04646419,-0.247847274,0.076973818,0.170684412,0.093239933,0.004416424,0.035440717,-0.042455725,0.063746274,0.088946067,-0.184530258,0.001559587,0.054119218,-0.060559422,-0.028679714,-0.049477618,0.231814161,0.213557541,-0.130905792,-0.07565029,0.047269084,-0.177337229,-0.07932809,0.02461895,-0.159789398,-0.237064734,-0.298477262,0.017767033,0.369743645,0.143681243,-0.103675641,0.003911999,-0.062190093,-0.024002038,0.057141356,0.125222564,-0.164780974,-0.00823366,-0.086329713,0.043556925,0.111994043,-0.068444386,-0.048921693,0.234813198,0.024529997,0.100503922,0.008105135,0.018260069,-0.027877597,0.000617709,-0.111898817,0.060845591,0.067299694,-0.047709398,-0.008565878,0.046793532,-0.22024852,0.099828258,0.006797238,-0.061148278,0.093064241,0.052740414,-0.190071493,-0.11900828,0.139396876,-0.248522758,0.121764198,0.244442746,0.074375503,0.139660612,0.122728869,0.048772432,-0.027223941,0.02064205,-0.193697214,0.007608369,0.107494965,-0.009352097,0.012842219,0.022383058
A01366475,-0.085229419,0.044335674,0.091438472,-0.027763689,-0.090456352,0.001793377,-0.035876229,-0.04444683,0.185061425,-0.096985959,0.271876961,0.004998639,-0.181543738,-0.050302584,0.022763651,0.142722517,-0.141661406,-0.029260419,-0.064416796,-0.036055852,0.009852299,-0.031546742,0.11120075,0.090699658,-0.091243058,-0.383201212,-0.145215005,-0.135323226,0.008015811,-0.048491355,-0.07018698,0.012608045,-0.116011292,-0.041220855,-0.041443489,0.051011439,-0.083825104,-0.11614193,0.194234118,-0.054552395,-0.15301165,0.019614376,-0.024154993,0.215812787,0.123621926,0.070682347,0.032182876,-0.055710077,0.063976891,-0.201304182,0.095337734,0.116589315,0.108650103,0.036636181,0.027370224,-0.086410373,0.086223438,0.076493964,-0.175513744,-0.013342908,0.015338538,-0.057641059,-0.018589774,-0.030149981,0.267257303,0.19986394,-0.11909391,-0.103804715,0.053031228,-0.129975513,-0.037815653,0.018525535,-0.189388663,-0.212728262,-0.300882339,0.081941292,0.370709419,0.126335412,-0.178678915,-0.014688375,-0.101420641,0.004974913,0.073272608,0.10656634,-0.12927556,-0.049654394,-0.119496055,0.046800528,0.139372721,-0.104077205,-0.049473852,0.230274409,0.035924736,0.065545112,-0.006878898,0.038290728,-0.031445101,0.058321916,-0.079665579,0.085229293,0.154124886,-0.019715846,-0.014005979,0.058654584,-0.239831477,0.080731392,-0.000411755,-0.05340774,0.111089572,0.005244535,-0.21490179,-0.114343129,0.165086344,-0.259433687,0.158115208,0.215938017,0.060061473,0.161007494,0.105646677,0.085601978,-0.022399429,-0.032062076,-0.176945791,0.017921502,0.15113689,0.003018917,0.026994757,0.040055759
A01366475,-0.111928768,0.027377434,0.08479581,-0.039259959,-0.04740864,-0.048086457,-0.052337661,-0.078579396,0.202523589,-0.10099069,0.28074494,-0.018865535,-0.18699041,-0.039873939,-0.010452168,0.159083813,-0.159607515,-0.050095893,-0.075017497,0.014773041,0.004998649,-0.079253644,0.106416069,0.085099079,-0.075502343,-0.392753869,-0.171699122,-0.128469765,-0.046617761,-0.040094294,-0.069540247,0.048088606,-0.124142118,-0.041284144,-0.059836805,0.046173003,-0.064896986,-0.057337303,0.202440724,-0.013028488,-0.225583404,0.004119939,-0.011924,0.21368213,0.138112426,0.088745765,0.036209941,-0.071394607,0.046708792,-0.170297414,0.0703215,0.13787058,0.081599735,0.037060022,0.004894422,-0.094638243,0.060546119,0.061150007,-0.131837323,-0.017992524,0.047219947,-0.085217312,-0.051824253,-0.043960523,0.228078142,0.194944128,-0.116901666,-0.131415665,0.093880266,-0.128345773,-0.060512085,0.040353294,-0.212455705,-0.238088816,-0.327282876,0.043100178,0.412499487,0.095987082,-0.14428921,0.010353407,-0.100518957,-0.03096188,0.069314882,0.158056185,-0.083385102,0.015652841,-0.097122036,0.017350111,0.1421666,-0.090540424,-0.041834086,0.184472248,0.009046106,0.099267818,-0.023458431,0.032538794,0.000452638,0.067193612,-0.128233016,0.067913577,0.081085116,0.012532808,-0.040317956,0.024085198,-0.193345681,0.0815669,0.053457562,-0.035164848,0.064899676,0.052039016,-0.166400909,-0.130250588,0.145034984,-0.242846772,0.143864498,0.243018091,0.089748554,0.12974751,0.116547838,0.099277899,-0.020680426,-0.002140571,-0.213895246,0.027082792,0.125974432,0.030200139,0.02792336,0.038334548
A01366686,-0.166452393,0.136530057,0.011772677,-0.031626165,-0.051307887,-0.049995754,-0.023913644,-0.095397882,0.149436951,-0.074742861,0.235795438,-0.03509618,-0.173380882,-0.083396956,-0.00039627,0.169720337,-0.132240295,-0.125640705,-0.075888336,-0.004357809,0.045204923,-0.076999359,0.069356531,0.134487584,-0.1287743,-0.258339316,-0.062416013,-0.098312154,0.037473653,-0.042030584,-0.04817085,-0.037924718,-0.189445317,-0.079102024,0.050013673,0.089521877,-0.051909395,-0.021213129,0.246626318,-0.071831591,-0.19810164,0.020216724,0.12087819,0.256294489,0.175080299,0.115458883,0.033959053,-0.116776511,0.116716199,-0.147000298,0.132052019,0.077966861,0.141083732,0.061894968,0.123957284,-0.198625296,0.063730702,0.095185131,-0.113089107,0.029153561,0.05207032,0.039002925,0.006608582,-0.051611189,0.277151614,0.062364526,-0.131459922,-0.154312775,0.099272273,-0.124203563,-0.036197037,0.158157647,-0.090650082,-0.168291807,-0.307544976,0.035844002,0.398414612,0.165990353,-0.18815662,0.008907234,-0.027095273,-0.05330855,0.090092197,0.095521264,-0.102558218,-0.014685121,-0.119068399,-0.037104726,0.183501542,0.008330544,-0.051358461,0.157543883,0.045182496,-0.019746648,-0.024446042,0.040563926,-0.147178814,0.045288414,-0.123613872,-0.063032001,0.060321439,0.00144232,0.002074869,0.101434007,-0.224859625,0.080322824,-0.018896986,0.00678752,-0.037862197,0.126477942,-0.1664868,-0.047033045,0.056954216,-0.287053794,0.181709126,0.14145726,0.032855745,0.07398852,0.138119414,0.07904271,0.043628231,0.058067799,-0.117985308,-0.070108153,0.097012848,-0.04314835,0.187739819,0.05348707
A01366686,-0.174820036,0.141774788,0.043588988,-0.002173121,-0.048214499,-0.083656617,-0.02423376,-0.116082698,0.133131623,-0.080669545,0.263815612,0.017695677,-0.14832525,-0.112038687,-0.003473718,0.153827742,-0.128959969,-0.120973691,-0.102746561,-0.024178384,-0.016928229,-0.060447093,0.060069766,0.106971711,-0.130498812,-0.28732273,-0.062309075,-0.114180326,0.057142571,-0.056193613,-0.037867077,-0.003335071,-0.137289062,-0.074456513,0.068499304,0.092389546,-0.017526453,-0.007307709,0.25916627,-0.094160311,-0.168287963,0.036264427,0.148883969,0.275385767,0.210596934,0.084498808,0.059631731,-0.130515203,0.16455552,-0.171006396,0.125778198,0.061574537,0.110071041,0.077535547,0.140134692,-0.202984542,0.034141123,0.094274074,-0.118290052,0.037143059,0.032777917,0.033623133,-0.019758172,-0.035313331,0.268958777,0.086446658,-0.133450627,-0.116429307,0.111831263,-0.173855782,-0.020747414,0.112257339,-0.103621498,-0.139002115,-0.318469048,0.030703451,0.386867702,0.184768096,-0.165089846,0.02228963,-0.03785735,-0.052031666,0.075273477,0.074591674,-0.13000305,-0.039643362,-0.082992919,-0.011044972,0.214336738,0.058400977,-0.028604312,0.158630222,0.04593078,0.000863176,-0.009491451,0.018169852,-0.138215244,-0.019174702,-0.139360279,-0.042459555,0.025342098,-0.009483507,0.035195846,0.098977074,-0.239830926,0.081234716,-0.013208278,0.028594557,-0.004625249,0.126337513,-0.128099918,-0.037456829,0.079643048,-0.246612504,0.219443232,0.136686295,0.0497059,0.090190686,0.127512544,0.050817534,0.018417392,0.047148928,-0.074886784,-0.047816545,0.068870284,-0.071404956,0.17944853,0.044353507
A01366686,-0.156180963,0.189096779,0.043730967,-0.038573936,-0.012842387,-0.073281623,-0.005984252,-0.107162662,0.175376162,-0.063587263,0.263725281,-0.029028118,-0.157469526,-0.077162132,-0.022784907,0.179466516,-0.181540415,-0.105656542,-0.107616723,-0.02188826,0.037175067,-0.071177788,0.066045128,0.117907107,-0.111883156,-0.254711986,-0.041973565,-0.099387862,0.073331326,-0.060446195,-0.016995523,-0.034456976,-0.172514156,-0.097002871,0.018644206,0.057403229,-0.016459316,-0.020361211,0.27150923,-0.058965094,-0.177401587,0.052275404,0.117655635,0.268340021,0.207315311,0.080412298,0.049553145,-0.102600232,0.12311627,-0.195110962,0.111043602,0.047864266,0.162139803,0.052953299,0.123354517,-0.198826551,-0.008978689,0.096891753,-0.135328561,0.04674397,0.074641734,0.055059567,-0.032861434,-0.060422838,0.256033987,0.113105744,-0.145771459,-0.139456213,0.112008855,-0.121692635,-0.02961446,0.12769179,-0.066641629,-0.131118536,-0.282108814,0.054932877,0.394945264,0.142418906,-0.184314474,-0.018910818,-0.041375253,-0.055293374,0.043725871,0.063825361,-0.127485499,-0.019913614,-0.071821503,-0.016579138,0.156861514,0.040384598,-0.059645135,0.159661651,0.02730914,-0.024827357,-0.044215158,0.028919628,-0.144086659,0.046787161,-0.141138896,-0.03926795,0.047934107,0.005669346,0.015868707,0.090788066,-0.209516257,0.092936233,-0.031854015,0.002003384,-0.018393248,0.144822329,-0.14553538,-0.018462718,0.095576815,-0.248399779,0.190208182,0.141236708,0.009880428,0.060955524,0.129242599,0.073258959,0.069168374,0.094089985,-0.102578811,-0.074384078,0.085061148,-0.072957881,0.185638964,0.042685382
A01366686,-0.167091087,0.103438571,0.025043897,-0.02093784,-0.038999319,-0.07290037,-0.03660173,-0.076918229,0.202522591,-0.082249984,0.200676963,0.041997649,-0.092972979,-0.071009241,-0.054329358,0.129306749,-0.150433064,-0.122666001,-0.098405488,-0.084193856,-0.03788634,-0.024817824,0.025191778,0.11227148,-0.155319944,-0.297697753,-0.055910472,-0.137735263,0.037788581,-0.085171066,-0.011782292,0.065889649,-0.148304686,-0.044610299,0.062038567,0.135594368,0.022517223,0.015235434,0.221869186,-0.045012932,-0.125395462,0.006271656,0.128151104,0.324564308,0.224388912,0.088481545,0.027494857,-0.086010337,0.20818828,-0.169257224,0.10398303,0.060352132,0.065747909,0.055188321,0.168155074,-0.191766784,0.027949458,0.041739807,-0.097721606,0.044091254,-0.000747156,0.028668566,-0.077725954,-0.044489935,0.254762113,0.108728081,-0.115248285,-0.126995876,0.13712956,-0.192061841,-0.014669174,0.110227272,-0.100223377,-0.105405241,-0.282061279,0.007416161,0.435855567,0.144959792,-0.163173333,0.028180266,-0.007517649,-0.075801313,0.092898317,0.073283166,-0.146901563,-0.003899138,-0.081976421,0.027792299,0.24083215,0.10032659,-0.056910373,0.107541911,-0.001570405,-0.003165941,-0.009926647,0.007723948,-0.146487519,0.00229896,-0.160699382,-0.061090399,0.086458579,0.009331292,-0.015216025,0.097752288,-0.21476607,0.098040923,-0.004975246,0.018152317,-0.013487733,0.118265375,-0.169542953,0.001333013,0.139112279,-0.217987359,0.209432676,0.106296182,0.026637373,0.093547411,0.089828499,0.038063902,0.006137271,0.053140137,-0.096702226,-0.066770464,0.036035776,-0.085359246,0.154920742,0.011362318
